"","Region","Site","Year","Zone","ID","IDsite","Points","x"
"55","GBR","1. North Reef","1995","7-15m","1995.1. North Reef.7-15m","1. North Reef.7-15m",1,33.16
"56","Jamaica","Rio Bueno","1977","1-7m","1977.Rio Bueno.1-7m","Rio Bueno.1-7m",1,56.62
"57","Jamaica","Rio Bueno","1977","7-15m","1977.Rio Bueno.7-15m","Rio Bueno.7-15m",1,55.68
"58","Polynesia","Tiahura","1979","1-7m","1979.Tiahura.1-7m","Tiahura.1-7m",1,51.6996699669967
"59","Polynesia","Tiahura","1979","15-30m","1979.Tiahura.15-30m","Tiahura.15-30m",1,38.7622699386503
"60","Polynesia","Tiahura","1979","7-15m","1979.Tiahura.7-15m","Tiahura.7-15m",1,44.738376753507
"61","GBR","1. North Reef","2002","1-7m","2002.1. North Reef.1-7m","1. North Reef.1-7m",2,18
"62","GBR","1. North Reef","2002","15-30m","2002.1. North Reef.15-30m","1. North Reef.15-30m",2,12.2
"63","GBR","1. North Reef","2002","7-15m","2002.1. North Reef.7-15m","1. North Reef.7-15m",2,11.6
"64","Jamaica","Rio Bueno","1993","1-7m","1993.Rio Bueno.1-7m","Rio Bueno.1-7m",2,5
"65","Jamaica","Rio Bueno","1993","15-30m","1993.Rio Bueno.15-30m","Rio Bueno.15-30m",2,5.41
"66","Jamaica","Rio Bueno","1993","7-15m","1993.Rio Bueno.7-15m","Rio Bueno.7-15m",2,5.34
"67","Polynesia","Tiahura","1982","1-7m","1982.Tiahura.1-7m","Tiahura.1-7m",2,28.7872340425532
"68","Polynesia","Tiahura","1982","15-30m","1982.Tiahura.15-30m","Tiahura.15-30m",2,9.73748680042239
"69","Polynesia","Tiahura","1982","7-15m","1982.Tiahura.7-15m","Tiahura.7-15m",2,11.6564154786151
"70","GBR","1. North Reef","2011","1-7m","2011.1. North Reef.1-7m","1. North Reef.1-7m",3,31.6
"71","GBR","1. North Reef","2011","15-30m","2011.1. North Reef.15-30m","1. North Reef.15-30m",3,12.4
"72","GBR","1. North Reef","2011","7-15m","2011.1. North Reef.7-15m","1. North Reef.7-15m",3,30
"73","Jamaica","Rio Bueno","2013","1-7m","2013.Rio Bueno.1-7m","Rio Bueno.1-7m",3,1.47
"74","Jamaica","Rio Bueno","2013","15-30m","2013.Rio Bueno.15-30m","Rio Bueno.15-30m",3,10.3
"75","Jamaica","Rio Bueno","2013","7-15m","2013.Rio Bueno.7-15m","Rio Bueno.7-15m",3,30.81
"76","Polynesia","Tiahura","2003","1-7m","2003.Tiahura.1-7m","Tiahura.1-7m",3,46.6
"77","Polynesia","Tiahura","2003","15-30m","2003.Tiahura.15-30m","Tiahura.15-30m",3,44.64
"78","Polynesia","Tiahura","2003","7-15m","2003.Tiahura.7-15m","Tiahura.7-15m",3,48.82
